condition,correct_given_protocol,cot,instances,invalid_rate,max_new_tokens,mean_generated_tokens,median_generated_tokens,model,protocol_compliance,semantic_accuracy,strict_accuracy,truncation_rate
qwen2.5-3b_cot_128,0.5,True,1150,0.01391304347826087,128,37.936521739130434,34.0,qwen2.5-3b,0.9860869565217392,0.4930434782608696,0.4930434782608696,0.014782608695652174
qwen2.5-3b_cot_256,0.5,True,1150,0.0034782608695652175,256,39.02782608695652,34.0,qwen2.5-3b,0.9965217391304347,0.4991304347826087,0.49826086956521737,0.004347826086956522
qwen2.5-3b_cot_512,0.5,True,1150,0.0017391304347826088,512,39.58347826086956,34.0,qwen2.5-3b,0.9982608695652174,0.4991304347826087,0.4991304347826087,0.0017391304347826088
